product,category,avg_compound,avg_pos,avg_neg,avg_neu,positive_reviews,negative_reviews,neutral_reviews,total_reviews,overall_sentiment
La Roche-Posay Anthelios ULTRA SPF50+ Face Sunscreen For Dry Skin 50ml,sunscreen,0.638785,0.25465,0.03825,0.7071500000000001,18,2,0,20,Positive
La Roche-Posay Effaclar Purifying Foaming Gel Anti-Acne Cleanser 200mL,cleanser,0.677435,0.24359999999999998,0.008249999999999999,0.7481,19,1,0,20,Positive
La Roche-Posay Hyalu B5 Hyaluronic Acid Anti-Ageing Serum 30ml,serum,0.44137000000000004,0.2049,0.04375,0.7513,14,4,2,20,Positive
La Roche-Posay Soothing Toner 200mL,toner,0.47297,0.2602,0.0263,0.6134999999999999,16,1,3,20,Positive
La Roche-Posay Toleriane Caring Wash Cleanser 200ml,cleanser,0.445015,0.2641,0.03505,0.701,15,3,2,20,Positive
Le Tan SPF 50+ Coconut Sunscreen 1L,sunscreen,0.7187250000000001,0.38175000000000003,0.00625,0.61175,4,0,0,4,Positive
MCoBeauty AHA/BHA Pore Refining Toner,toner,0.46691000000000005,0.1943,0.0349,0.5208999999999999,14,1,5,20,Positive
MCoBeauty Hydrate & Glow Ultra Dew Serum,serum,0.86775,0.34975,0.0,0.65025,4,0,0,4,Positive
NIVEA Cocoa & Indulging Body Lotion 400ml,moisturizer,0.6074849999999999,0.30670000000000003,0.0126,0.5307000000000001,16,1,3,20,Positive
NIVEA Creme Moisturiser Blue Tin 60ml,moisturizer,0.63931,0.22444999999999998,0.009049999999999999,0.7665,18,0,2,20,Positive
NIVEA Daily Essentials Refreshing Face Toner 200ml,toner,0.5300849999999999,0.26195,0.01245,0.52555,13,0,7,20,Positive
NIVEA Rich Nourishing Body Lotion 250ml,moisturizer,0.49658499999999994,0.1533,0.0262,0.7205,17,1,2,20,Positive
NIVEA Rich Nourishing Body Lotion 75ml,moisturizer,0.7699230769230769,0.18669230769230769,0.019923076923076925,0.7164615384615385,12,0,1,13,Positive
NIVEA Soft Moisturising Cream 75ml,moisturizer,0.7029799999999999,0.19870000000000002,0.0154,0.7859,17,0,3,20,Positive
Natio Skin Toner Rosewater & Chamomile 250mL,toner,0.507255,0.27654999999999996,0.02235,0.6511,16,2,2,20,Positive
Neutrogena Alcohol Free Toner 150ml,toner,0.31011500000000003,0.1505,0.0172,0.5323,10,2,8,20,Positive
Neutrogena Hydro Boost Hyaluronic Acid Serum 30mL,serum,0.43559000000000003,0.209,0.01005,0.48100000000000004,13,0,7,20,Positive
Olay Complete UV Protection Moisturiser Lotion Sensitive SPF15 150mL,moisturizer,0.444075,0.15975,0.03375,0.8065,3,1,0,4,Positive
Redwin Sorbolene Daily Moisturiser 550ml,moisturizer,0.20315,0.16225,0.0,0.33775,1,0,3,4,Positive
Redwin Sorbolene Moisturiser with Vitamin E 100g,moisturizer,0.5137333333333333,0.22566666666666668,0.0,0.441,2,0,1,3,Positive
RoC Multi Correxion Hydrate & Plump Night Serum Capsules 10 Pieces,serum,0.0,0.0,0.0,0.0,0,0,1,1,Neutral
SKIN1004 Madagascar Centella Hyalu-Cica Brightening Toner 210ml,toner,0.732245,0.3032,0.020800000000000003,0.626,19,0,1,20,Positive
SKIN1004 Madagascar Centella Toning Toner 210ml,toner,0.31872500000000004,0.1905,0.0175,0.792,2,1,1,4,Positive
Sukin Purely Ageless Firming Mist Toner 125ml,toner,0.7046749999999999,0.40675,0.068,0.52525,4,0,0,4,Positive
Sukin Signature Foaming Facial Cleanser Pump 125ml,cleanser,0.387975,0.40425,0.04625,0.5495,3,1,0,4,Positive
Sukin Signature Hydrating Mist Toner 250ml,toner,0.48872499999999997,0.15799999999999997,0.03925,0.8029999999999999,3,0,1,4,Positive
Swisse Skincare Niacinamide 10% Skin Renewal Serum 30ml,serum,0.645045,0.2395,0.0023,0.7582,18,0,2,20,Positive
Swisse Skincare Rose Hip Nourishing Cream Moisturiser 125ml,moisturizer,0.924775,0.4155,0.00975,0.57475,4,0,0,4,Positive
Thayers Anti-Blemish Toner 355ml,toner,0.39865,0.1975,0.013166666666666667,0.28933333333333333,3,0,3,6,Positive
Thayers Hydrating Milky Cleanser 237ml,cleanser,0.49350000000000005,0.19333333333333336,0.0,0.47333333333333333,2,0,1,3,Positive
Thayers Hydrating Milky Toner With Snow Mushroom & Hyaluronic Acid 355ml,toner,0.30629,0.14515,0.0062,0.49865000000000004,9,1,10,20,Positive
Thayers Pore Refining 2% AHA Toner 355ml,toner,0.27918000000000004,0.1434,0.010199999999999999,0.2464,2,0,3,5,Positive
Thayers Rose Petal Alcohol-Free Mist Toner 237ml,toner,0.48335,0.22925,0.0,0.52075,3,0,1,4,Positive
Thayers Rose Petal Alcohol-Free Toner 355ml,toner,0.515435,0.23685,0.0248,0.63845,15,1,4,20,Positive
Thursday Plantation Tea Tree & Witch Hazel Face Toner 100mL,toner,0.681425,0.2195,0.02325,0.75725,4,0,0,4,Positive
Trilogy Hydrating Mist Toner 100ml,toner,0.89455,0.265,0.018,0.71675,4,0,0,4,Positive
VB For Men Face Moisturiser 100ml,moisturizer,0.2202,0.163,0.0,0.337,1,0,1,2,Positive
